person_id,institution_name,major,degree,start_date,end_date,education_state,final_gpa,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
92,جامعة العلوم والتكنولوجيا الأردنيّة,الهندسة المدنيّة,بكالوريوس,,,current,,2025-01-31 11:14:26,,True,admin
94,جامعة مؤتة,معلم صف,بكالوريوس,,,graduated,,2025-01-31 11:14:27,,True,admin
95,جامعة البلقاء التطبيقيّة,الهندسة المدنيّة,بكالوريوس,,,graduated,,2025-01-31 11:14:27,,True,admin
96,جامعة مؤتة,هندسة البرمجيات,بكالوريوس,,,current,,2025-01-31 11:14:27,,True,admin
97,جامعة جدارا,التربية الرياضيّة,بكالوريوس,,,current,,2025-01-31 11:14:27,,True,admin
99,جامعة آل البيت,إدارة الأعمال,بكالوريوس,,,current,,2025-01-31 11:14:29,,True,admin
100,جامعة اليرموك,المحاسبة,بكالوريوس,,,graduated,,2025-01-31 11:14:30,,True,admin
102,الجامعة الهاشميّة,الكيمياء,بكالوريوس,,,current,,2025-01-31 11:14:32,,True,admin
103,الجامعة الهاشميّة,الاقتصاد المالي,بكالوريوس,,,current,,2025-01-31 11:14:33,,True,admin
104,جامعة العلوم والتكنولوجيا الأردنيّة,الرياضيات,بكالوريوس,,,graduated,,2025-01-31 11:14:34,,True,admin
106,جامعة البلقاء التطبيقيّة,علم الحاسوب,بكالوريوس,,,current,,2025-01-31 11:14:36,,True,admin
108,جامعة الحسين التقنيّة,هندسة العمارة,بكالوريوس,,,current,,2025-01-31 11:14:38,,True,admin
109,جامعة البلقاء التطبيقيّة,صيانة المركبات الكهربائيّة والهجينة,دبلوم,,,graduated,,2025-01-31 11:14:39,,True,admin
111,الجامعة الهاشميّة,العلوم الطبيّة المخبريّة,بكالوريوس,,,graduated,,2025-01-31 11:14:40,,True,admin
113,جامعة مؤتة,الطب والجراحة,بكالوريوس,,,graduated,,2025-01-31 11:14:41,,True,admin
114,جامعة مؤتة,الصيدلة,بكالوريوس,,,current,,2025-01-31 11:14:41,,True,admin
115,جامعة الزرقاء,التربية الرياضيّة,بكالوريوس,,,current,,2025-01-31 11:14:42,,True,admin
116,جامعة العلوم والتكنولوجيا الأردنيّة,الهندسة الميكانيكيّة,بكالوريوس,,,current,,2025-01-31 11:14:42,,True,admin
117,الجامعة الأردنيّة,اللغة الإنجليزيّة وآدابها,بكالوريوس,,,current,,2025-01-31 11:14:44,,True,admin
119,جامعة العلوم والتكنولوجيا الأردنيّة,هندسة الحاسوب,بكالوريوس,,,current,,2025-01-31 11:14:45,,True,admin
120,الجامعة الهاشميّة,هندسة الحاسوب,بكالوريوس,,,current,,2025-01-31 11:14:45,,True,admin
121,جامعة فيلادلفيا,هندسة السيارات الكهربائيّة والهايبرد,دبلوم,,,current,,2025-01-31 11:14:45,,True,admin
122,جامعة جدارا,الصيدلة,بكالوريوس,,,current,,2025-01-31 11:14:45,,True,admin
123,جامعة مؤتة,العلوم الحياتيّة,بكالوريوس,,,current,,2025-01-31 11:14:47,,True,admin
125,جامعة عمان الأهليّة,علم الحاسوب,بكالوريوس,,,current,,2025-01-31 11:14:47,,True,admin
126,الجامعة الهاشميّة,الهندسة الصناعيّة,بكالوريوس,,,current,,2025-01-31 11:14:47,,True,admin
127,الجامعة الأردنيّة,دكتور في الصيدلة,بكالوريوس,,,current,,2025-01-31 11:14:50,,True,admin
129,جامعة الزرقاء,التسويق الإلكتروني والتواصل الاجتماعي,بكالوريوس,,,current,,2025-01-31 11:14:51,,True,admin
130,الجامعة الهاشميّة,الاقتصاد المالي,بكالوريوس,,,graduated,,2025-01-31 11:14:51,,True,admin
131,الجامعة الأمريكيّة في مادبا,الأمن السيبراني,بكالوريوس,,,current,,2025-01-31 11:14:52,,True,admin
132,جامعة العلوم والتكنولوجيا الأردنيّة,الصيدلة,بكالوريوس,,,current,,2025-01-31 11:14:53,,True,admin
133,جامعة اليرموك,التربية البدنيّة وعلوم الرياضة,بكالوريوس,,,current,,2025-01-31 11:14:53,,True,admin
134,الجامعة الهاشميّة,اللغة الإنجليزيّة وآدابها - مسار الترجمة,بكالوريوس,,,graduated,,2025-01-31 11:14:54,,True,admin
135,جامعة اليرموك,الطب البشري,بكالوريوس,,,current,,2025-01-31 11:14:54,,True,admin
136,جامعة عمان الأهليّة,التصميم الداخلي,بكالوريوس,,,current,,2025-01-31 11:14:57,,True,admin
139,جامعة جدارا,العلوم الماليّة والمصرفيّة,بكالوريوس,,,graduated,,2025-01-31 11:14:58,,True,admin
140,الجامعة الأمريكيّة في مادبا,هندسة أنظمة روبوتات ذكيّة,بكالوريوس,,,current,,2025-01-31 11:14:58,,True,admin
142,جامعة البلقاء التطبيقيّة,إدارة الأعمال,بكالوريوس,,,graduated,,2025-01-31 11:14:59,,True,admin
143,جامعة مؤتة,الترجمة,بكالوريوس,,,current,,2025-01-31 11:14:00,,True,admin
144,جامعة الشّرق الأوسط,الحقوق / القانون,بكالوريوس,,,graduated,,2025-01-31 11:15:00,,True,admin
146,جامعة العلوم والتكنولوجيا الأردنيّة,الهندسة الصناعيّة,بكالوريوس,,,current,,2025-01-31 11:15:02,,True,admin
147,جامعة العلوم والتكنولوجيا الأردنيّة,دكتور في الصيدلة,بكالوريوس,,,current,,2025-01-31 11:15:04,,True,admin
148,جامعة اليرموك,نظم المعلومات الإداريّة,بكالوريوس,,,graduated,,2025-01-31 11:15:06,,True,admin
149,الجامعة الأردنيّة,الذكاء الاصطناعي,بكالوريوس,,,current,,2025-01-31 11:15:06,,True,admin
150,جامعة الزرقاء,هندسة البرمجيات,بكالوريوس,,,graduated,,2025-01-31 11:15:07,,True,admin
152,جامعة اليرموك,الهندسة المدنيّة,بكالوريوس,,,current,,2025-01-31 11:15:07,,True,admin
155,جامعة عمان الأهليّة,الحقوق / القانون,بكالوريوس,,,current,,2025-01-31 11:15:12,,True,admin
156,جامعة الأميرة سميّة للتكنولوجيا,المحاسبة,بكالوريوس,,,graduated,,2025-01-31 11:15:14,,True,admin
158,جامعة اليرموك,الطب البشري,بكالوريوس,,,current,,2025-01-31 11:15:16,,True,admin
159,الجامعة الأمريكيّة في مادبا,وسائط متعددة,بكالوريوس,,,current,,2025-01-31 11:15:16,,True,admin
160,الجامعة الأردنيّة,دكتور في الصيدلة,بكالوريوس,,,current,,2025-01-31 11:15:17,,True,admin
161,الجامعة الهاشميّة,الطب البشري,بكالوريوس,,,current,,2025-01-31 11:15:18,,True,admin
162,الجامعة الهاشميّة,الأمن السيبراني,بكالوريوس,,,current,,2025-01-31 11:15:18,,True,admin
164,جامعة العلوم والتكنولوجيا الأردنيّة,البصريات,بكالوريوس,,,graduated,,2025-01-31 11:15:20,,True,admin
165,جامعة البلقاء التطبيقيّة,تقنيات حيويّة زراعيّة,بكالوريوس,,,graduated,,2025-01-31 11:15:22,,True,admin
166,جامعة مؤتة,التدريب الرياضي,بكالوريوس,,,graduated,,2025-01-31 11:15:27,,True,admin
168,الجامعة الهاشميّة,المحاسبة,بكالوريوس,,,graduated,,2025-01-31 11:15:28,,True,admin
170,كلية عمون الجامعيّة التطبيقيّة,إدارة فنادق,بكالوريوس,,,current,,2025-01-31 11:15:33,,True,admin
171,جامعة الزرقاء,إدارة الأعمال,بكالوريوس,,,current,,2025-01-31 11:15:33,,True,admin
172,جامعة العلوم التطبيقيّة الخاصة,الهندسة الصناعيّة,بكالوريوس,,,current,,2025-01-31 11:15:33,,True,admin
173,جامعة الزرقاء,الذكاء الاصطناعي,بكالوريوس,,,current,,2025-01-31 11:15:33,,True,admin
174,جامعة جرش,علم الحاسوب,بكالوريوس,,,graduated,,2025-01-31 11:15:34,,True,admin
175,جامعة مؤتة,هندسة البرمجيات,بكالوريوس,,,current,,2025-01-31 11:15:34,,True,admin
176,جامعة الزرقاء,المختبرات والتحاليل الطبيّة,بكالوريوس,,,current,,2025-01-31 11:15:36,,True,admin
177,جامعة جدارا,هندسة البرمجيات,بكالوريوس,,,graduated,,2025-01-31 11:15:37,,True,admin
178,الجامعة الهاشميّة,الاقتصاد المالي,بكالوريوس,,,current,,2025-01-31 11:15:38,,True,admin
180,الجامعة الأردنيّة,الحقوق / القانون,بكالوريوس,,,current,,2025-01-31 11:15:39,,True,admin
181,جامعة اليرموك,الهندسة الطبيّة الحيويّة,بكالوريوس,,,current,,2025-01-31 11:15:40,,True,admin
182,جامعة عمان الأهليّة,المحاسبة,بكالوريوس,,,current,,2025-01-31 11:15:41,,True,admin
183,جامعة الزرقاء,الذكاء الاصطناعي,بكالوريوس,,,current,,2025-01-31 11:15:41,,True,admin
184,الجامعة الأمريكيّة في مادبا,الصيدلة,بكالوريوس,,,graduated,,2025-01-31 11:15:41,,True,admin
185,جامعة العلوم والتكنولوجيا الأردنيّة,الأمن السيبراني,بكالوريوس,,,current,,2025-01-31 11:15:44,,True,admin
188,جامعة اليرموك,اقتصاد المال والأعمال,بكالوريوس,,,current,,2025-01-31 11:15:44,,True,admin
189,الجامعة الهاشميّة,الهندسة الصناعيّة,بكالوريوس,,,current,,2025-01-31 11:15:45,,True,admin
190,جامعة البلقاء التطبيقيّة,الحقوق / القانون,بكالوريوس,,,current,,2025-01-31 11:15:45,,True,admin
191,جامعة العلوم والتكنولوجيا الأردنيّة,الهندسة المدنيّة,بكالوريوس,,,graduated,,2025-01-31 11:15:45,,True,admin
191,جامعة العلوم والتكنولوجيا الأردنيّة,إدارة عامة,ماجستير,,,graduated,,2025-01-31 11:15:45,,True,admin
192,جامعة الزرقاء,الحقوق / القانون,بكالوريوس,,,current,,2025-01-31 11:15:45,,True,admin
193,جامعة مؤتة,الطب البشري,بكالوريوس,,,current,,2025-01-31 11:15:46,,True,admin
196,جامعة الزرقاء,هندسة الأوتوترونكس,بكالوريوس,,,current,,2025-01-31 11:15:48,,True,admin
199,جامعة مؤتة,التمريض,بكالوريوس,,,current,,2025-01-31 11:15:53,,True,admin
200,جامعة البلقاء التطبيقيّة,إدارة الأعمال,بكالوريوس,,,graduated,,2025-01-31 11:15:53,,True,admin
201,الجامعة الأمريكيّة في مادبا,التسويق الرقمي والابتكار,بكالوريوس,,,current,,2025-01-31 11:15:55,,True,admin
202,جامعة آل البيت,المحاسبة وقانون الأعمال,بكالوريوس,,,graduated,,2025-01-31 11:15:55,,True,admin
207,جامعة آل البيت,هندسة العمارة,بكالوريوس,,,graduated,,2025-01-31 11:15:57,,True,admin
208,الجامعة الأمريكيّة في مادبا,هندسة العمارة,بكالوريوس,,,current,,2025-01-31 11:15:57,,True,admin
209,جامعة العلوم والتكنولوجيا الأردنيّة,الكيمياء,بكالوريوس,,,current,,2025-01-31 11:16:02,,True,admin
210,جامعة البلقاء التطبيقيّة,التحاليل الطبيّة,بكالوريوس,,,current,,2025-01-31 11:16:02,,True,admin
212,جامعة البلقاء التطبيقيّة,المختبرات الطبيّة,بكالوريوس,,,graduated,,2025-01-31 11:16:03,,True,admin
213,جامعة العلوم والتكنولوجيا الأردنيّة,هندسة الحاسوب,بكالوريوس,,,current,,2025-01-31 11:16:05,,True,admin
214,جامعة العلوم والتكنولوجيا الأردنيّة,الهندسة الكهربائيّة,بكالوريوس,,,current,,2025-01-31 11:16:08,,True,admin
215,جامعة العلوم والتكنولوجيا الأردنيّة,تكنولوجيا صناعة الأسنان,بكالوريوس,,,current,,2025-01-31 11:16:10,,True,admin
217,جامعة جدارا,التصميم الداخلي,بكالوريوس,,,current,,2025-01-31 11:16:12,,True,admin
218,الجامعة الهاشميّة,العلوم الطبيّة المخبريّة,بكالوريوس,,,graduated,,2025-01-31 11:16:13,,True,admin
219,جامعة الزرقاء,الأمن السيبراني,بكالوريوس,,,current,,2025-01-31 11:16:13,,True,admin
220,الأكاديميّة الملكيّة لفنون الطهي,إدارة الطعام والشراب,بكالوريوس,,,current,,2025-01-31 11:16:14,,True,admin
222,جامعة إربد الأهليّة,هندسة البرمجيات,بكالوريوس,,,current,,2025-01-31 11:16:15,,True,admin
224,جامعة البلقاء التطبيقيّة,الحقوق / القانون,بكالوريوس,,,current,,2025-01-31 11:16:17,,True,admin
225,الجامعة الأمريكيّة في مادبا,التحاليل الطبيّة,بكالوريوس,,,current,,2025-01-31 11:16:17,,True,admin
226,جامعة مؤتة,اللغة الإنجليزيّة التطبيقيّة,بكالوريوس,,,current,,2025-01-31 11:16:18,,True,admin
227,جامعة البلقاء التطبيقيّة,الطب البشري,بكالوريوس,,,current,,2025-01-31 11:16:19,,True,admin
228,الجامعة الأردنيّة,اللغة الإنجليزيّة وآدابها,بكالوريوس,,,current,,2025-01-31 11:16:21,,True,admin
229,الجامعة الأردنيّة,الهندسة المدنيّة,بكالوريوس,,,graduated,,2025-01-31 11:16:24,,True,admin
230,الجامعة الأردنيّة,اللغات (فرنسي - إنجليزي),بكالوريوس,,,current,,2025-01-31 11:16:24,,True,admin
231,الجامعة الهاشميّة,إدارة المخاطر والتأمين,بكالوريوس,,,graduated,,2025-01-31 11:16:25,,True,admin
235,جامعة العلوم والتكنولوجيا الأردنيّة,الطب البشري,بكالوريوس,,,current,,2025-01-31 11:16:29,,True,admin
236,الجامعة الهاشميّة,العلوم الماليّة والمصرفيّة,بكالوريوس,,,current,,2025-01-31 11:16:35,,True,admin
237,كلّية المفرق الأهليّة,التمريض,بكالوريوس,,,current,,2025-01-31 11:16:37,,True,admin
238,الجامعة الهاشميّة,إدارة فنادق,بكالوريوس,,,current,,2025-01-31 11:16:40,,True,admin
239,جامعة البلقاء التطبيقيّة,هندسة الصناعات الكيميائيّة,بكالوريوس,,,graduated,,2025-01-31 11:16:41,,True,admin
240,جامعة عمان الأهليّة,علم البيانات والذكاء الاصطناعي,بكالوريوس,,,current,,2025-01-31 11:16:42,,True,admin
242,جامعة مؤتة,العلوم الماليّة والمصرفيّة,بكالوريوس,,,graduated,,2025-01-31 11:16:44,,True,admin
243,الجامعة الهاشميّة,هندسة العمارة,بكالوريوس,,,current,,2025-01-31 11:16:45,,True,admin
244,جامعة البلقاء التطبيقيّة,إدارة الأعمال,بكالوريوس,,,current,,2025-01-31 11:16:46,,True,admin
246,جامعة اليرموك,العلوم السياسيّة,بكالوريوس,,,current,,2025-01-31 11:16:50,,True,admin
247,الجامعة الأردنيّة,إدارة المطارات وعلوم الطيران,بكالوريوس,,,graduated,,2025-01-31 11:16:51,,True,admin
248,الجامعة الأردنيّة,اللغة العربيّة وآدابها,بكالوريوس,,,current,,2025-01-31 11:16:52,,True,admin
249,الجامعة الألمانيّة الأردنيّة,علوم لوجستيّة,بكالوريوس,,,graduated,,2025-01-31 11:16:52,,True,admin
250,جامعة الشّرق الأوسط,التكنولوجيا الماليّة,بكالوريوس,,,graduated,,2025-01-31 11:16:58,,True,admin
251,كلّية القدس,المحاسبة,بكالوريوس,,,graduated,,2025-01-31 11:16:59,,True,admin
255,الجامعة الأمريكيّة في مادبا,إدارة الأعمال,بكالوريوس,,,current,,2025-01-31 11:17:06,,True,admin
256,جامعة الزرقاء,طب وجراحة الأسنان,بكالوريوس,,,current,,2025-01-31 11:17:07,,True,admin
257,جامعة مؤتة,هندسة النظم الصناعيّة,بكالوريوس,,,current,,2025-01-31 11:17:09,,True,admin
259,الجامعة الهاشميّة,علم التمريض,بكالوريوس,,,current,,2025-01-31 11:17:11,,True,admin
260,الجامعة الأمريكيّة في مادبا,التسويق الرقمي والابتكار,بكالوريوس,,,current,,2025-01-31 11:17:12,,True,admin
261,الجامعة الأردنيّة,الحقوق / القانون,بكالوريوس,,,current,,2025-01-31 11:17:13,,True,admin
262,الجامعة الهاشميّة,تربية الطفولة المبكرة,بكالوريوس,,,graduated,,2025-01-31 11:17:15,,True,admin
265,جامعة الحسين التقنيّة,هندسة العمارة,بكالوريوس,,,current,,2025-01-31 11:17:18,,True,admin
266,الجامعة الهاشميّة,الاقتصاد,بكالوريوس,,,graduated,,2025-01-31 11:17:20,,True,admin
268,جامعة الحسين التقنيّة,علم الحاسوب,بكالوريوس,,,current,,2025-01-31 11:17:25,,True,admin
270,جامعة جدارا,العلوم الجمركيّة,بكالوريوس,,,current,,2025-01-31 11:17:38,,True,admin
273,جامعة الزرقاء,هندسة البرمجيات,بكالوريوس,,,current,,2025-01-31 11:17:45,,True,admin
274,جامعة جدارا,العلوم الطبيّة المخبريّة,بكالوريوس,,,current,,2025-01-31 11:17:49,,True,admin
275,University of Nicosia,الحقوق / القانون,بكالوريوس,,,graduated,,2025-01-31 11:17:50,,True,admin
276,الجامعة التكنولوجيّة - العراق,الهندسة المدنيّة,بكالوريوس,,,graduated,,2025-01-31 11:18:01,,True,admin
277,جامعة اليرموك,الصيدلة,بكالوريوس,,,current,,2025-01-31 11:18:02,,True,admin
279,الجامعة الأردنيّة,الهندسة المدنيّة,بكالوريوس,,,graduated,,2025-01-31 11:18:03,,True,admin
282,جامعة جدارا,هندسة السيارات الكهربائيّة والهايبرد,دبلوم,,,current,,2025-01-31 11:18:08,,True,admin
283,جامعة العلوم والتكنولوجيا الأردنيّة,الطب البشري,بكالوريوس,,,current,,2025-01-31 11:18:11,,True,admin
284,الجامعة الهاشميّة,الهندسة الصناعيّة,بكالوريوس,,,current,,2025-01-31 11:18:12,,True,admin
285,جامعة الأميرة سميّة للتكنولوجيا,علم الحاسوب,بكالوريوس,,,graduated,,2025-01-31 11:18:16,,True,admin
286,مدرسة ثيودور شنلر,نجارة عربي ديكور,دبلوم,,,graduated,,2025-01-31 11:18:19,,True,admin
288,جامعة العلوم والتكنولوجيا الأردنيّة,الأمن السيبراني,بكالوريوس,,,current,,2025-01-31 11:18:21,,True,admin
289,جامعة العلوم والتكنولوجيا الأردنيّة,إدارة سياسات صحيّة,بكالوريوس,,,current,,2025-01-31 11:18:21,,True,admin
290,جامعة العلوم والتكنولوجيا الأردنيّة,الفيزياء,بكالوريوس,,,current,,2025-01-31 11:18:21,,True,admin
291,جامعة البلقاء التطبيقيّة,التصميم الجرافيكي,بكالوريوس,,,graduated,,2025-01-31 11:18:24,,True,admin
292,جامعة اليرموك,التسويق,بكالوريوس,,,current,,2025-01-31 11:18:27,,True,admin
294,الجامعة الهاشميّة,هندسة البرمجيات,بكالوريوس,,,current,,2025-01-31 11:18:39,,True,admin
296,جامعة الحسين التقنيّة,الرسم الحاسوبي والرسوم المتحركة,بكالوريوس,,,current,,2025-01-31 11:18:43,,True,admin
