period_id,node_id,person_id,role
OTPD000008,OTND00000143,390,مسؤول فئة الثانوي
OTPD000008,OTND00000144,22,مسؤول فئة الثانوي
OTPD000008,OTND00000145,435,مسؤول فئة الإعدادي
OTPD000008,OTND00000146,1591,مسؤول فئة الإعدادي
OTPD000008,OTND00000147,382,مسؤول فئة البراعم الكبرى
OTPD000008,OTND00000148,183,مسؤول فئة البراعم الكبرى
OTPD000008,OTND00000149,9,مسؤول فئة البراعم الكبرى
OTPD000008,OTND00000150,386,مسؤول فئة البراعم الصغرى
OTPD000008,OTND00000151,387,مسؤول فئة البراعم الصغرى
OTPD000008,OTND00000152,3037,مسؤول فئة البراعم الصغرى
OTPD000008,OTND00000153,377,مسؤول اللجنة الإعلاميّة
OTPD000008,OTND00000154,376,مسؤول اللجنة الإعلاميّة
OTPD000008,OTND00000155,446,مسؤول اللجنة الإعلاميّة
OTPD000008,OTND00000156,141,أمين الصندوق
OTPD000009,OTND00000157,3105,المرشد الروحي
OTPD000009,OTND00000158,271,المسؤول العام
OTPD000009,OTND00000159,245,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000009,OTND00000160,224,مسؤول اللجنة الإعلاميّة
OTPD000009,OTND00000161,569,اللجنة الإعلاميّة
OTPD000009,OTND00000162,60,اللجنة الإعلاميّة
OTPD000009,OTND00000163,30,مسؤول لجنة الخدمة
OTPD000009,OTND00000164,284,أمين الصندوق
OTPD000009,OTND00000165,569,أمين السر
OTPD000009,OTND00000166,30,نائب المسؤول العام
OTPD000010,OTND00000167,1316,المسؤول العام
OTPD000010,OTND00000168,1318,نائب المسؤول العام
OTPD000010,OTND00000169,110,مسؤول فئة العاملة
OTPD000010,OTND00000170,1318,مسؤول فئة الجامعيّة
OTPD000010,OTND00000171,329,مجلس فئتيّ الجامعيّة والعاملة
OTPD000010,OTND00000172,338,مجلس فئتيّ الجامعيّة والعاملة
OTPD000010,OTND00000173,1314,مجلس فئتيّ الجامعيّة والعاملة
OTPD000010,OTND00000174,1251,مسؤول فئة الثانوي
OTPD000010,OTND00000175,346,مجلس فئة الثانوي
OTPD000010,OTND00000176,62,مسؤول فئة الإعدادي
OTPD000010,OTND00000177,1412,مجلس فئة الإعدادي
OTPD000010,OTND00000178,178,مجلس فئة الإعدادي
OTPD000010,OTND00000179,1564,مسؤول فئة البراعم
OTPD000010,OTND00000180,1651,مجلس فئة البراعم
OTPD000010,OTND00000181,1655,مجلس فئة البراعم
OTPD000010,OTND00000182,1652,مجلس فئة البراعم
OTPD000010,OTND00000183,49,مجلس فئة البراعم
OTPD000010,OTND00000184,1840,مسؤول اللجنة الإعلاميّة
OTPD000010,OTND00000185,1829,اللجنة الإعلاميّة
OTPD000010,OTND00000186,129,اللجنة الإعلاميّة
OTPD000010,OTND00000187,1843,اللجنة الإعلاميّة
OTPD000010,OTND00000188,335,مسؤول لجنة الخدمة
OTPD000010,OTND00000189,196,لجنة الخدمة
OTPD000010,OTND00000190,316,لجنة الخدمة
OTPD000010,OTND00000191,335,أمين الصندوق
OTPD000010,OTND00000192,1363,أمين السر
OTPD000010,OTND00000193,329,مسؤول الفرقة الموسيقيّة
OTPD000010,OTND00000194,1318,الفرقة الموسيقيّة
OTPD000010,OTND00000195,10,الفرقة الموسيقيّة
OTPD000010,OTND00000196,1340,الفرقة الموسيقيّة
OTPD000010,OTND00000197,3098,المرشد الروحي
OTPD000010,OTND00000198,3099,مساعد المرشد الروحي
OTPD000011,OTND00000199,3165,المرشد الروحي
OTPD000011,OTND00000200,1498,المسؤول العام
OTPD000011,OTND00000201,33,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000011,OTND00000202,1219,مسؤول فئة الثانوي
OTPD000011,OTND00000203,3166,مرشد روحي فئتيّ الجامعيّة والعاملة
OTPD000011,OTND00000204,3167,مرشد روحي فئة الثانوي
OTPD000011,OTND00000205,1293,مسؤول فئة الإعدادي
OTPD000011,OTND00000206,1657,مسؤول فئة الإعدادي
OTPD000011,OTND00000207,77,مسؤول فئة البراعم
OTPD000011,OTND00000208,259,مسؤول فئة البراعم
OTPD000011,OTND00000209,2572,مسؤول فئة البراعم
OTPD000011,OTND00000210,3167,مرشد روحي فئة الإعدادي
OTPD000011,OTND00000211,3167,مرشد روحي فئة البراعم
OTPD000011,OTND00000212,138,مسؤول اللجنة الإعلاميّة
OTPD000011,OTND00000213,3167,أمين الصندوق
OTPD000012,OTND00000214,3110,المسؤول العام
OTPD000012,OTND00000215,16,مسؤول فئتيّ الإعدادي والثانوي
OTPD000012,OTND00000216,201,مجلس فئتيّ الإعدادي والثانوي
OTPD000012,OTND00000217,3014,مجلس فئتيّ الإعدادي والثانوي
OTPD000012,OTND00000218,1199,مسؤول فئة البراعم
OTPD000012,OTND00000219,1200,مسؤول فئة البراعم
OTPD000013,OTND00000220,233,نائب المسؤول العام
OTPD000013,OTND00000221,1255,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000013,OTND00000222,160,مسؤول فئة الثانوي
OTPD000013,OTND00000223,136,مسؤول فئة الإعدادي
OTPD000013,OTND00000224,1812,مسؤول فئة البراعم
OTPD000013,OTND00000225,2744,مسؤول فئة البراعم
OTPD000013,OTND00000226,1392,مسؤول اللجنة الإعلاميّة
OTPD000013,OTND00000227,182,مسؤول لجنة الخدمة
OTPD000013,OTND00000228,1,مسؤول لجنة العلاقات العامة
OTPD000013,OTND00000229,2270,أمين الصندوق
OTPD000013,OTND00000230,1391,أمين السر
OTPD000013,OTND00000231,1399,مجلس فئتيّ الجامعيّة والعاملة
OTPD000013,OTND00000232,2738,مجلس فئتيّ الجامعيّة والعاملة
OTPD000013,OTND00000233,1484,مجلس فئتيّ الجامعيّة والعاملة
OTPD000013,OTND00000234,1153,مجلس فئة الثانوي
OTPD000013,OTND00000235,1256,مجلس فئة الثانوي
OTPD000013,OTND00000236,203,مجلس فئة الثانوي
OTPD000013,OTND00000237,1396,مجلس فئة الثانوي
OTPD000013,OTND00000238,1394,مجلس فئة الإعدادي
OTPD000013,OTND00000239,2832,مجلس فئة الإعدادي
OTPD000013,OTND00000240,230,مجلس فئة الإعدادي
OTPD000013,OTND00000241,4,مجلس فئة الإعدادي
OTPD000013,OTND00000242,1419,مجلس فئة البراعم
OTPD000013,OTND00000243,1391,مجلس فئة البراعم
OTPD000013,OTND00000244,1400,مجلس فئة البراعم
OTPD000013,OTND00000245,1410,مجلس فئة البراعم
OTPD000013,OTND00000246,532,اللجنة الإعلاميّة
OTPD000013,OTND00000247,534,اللجنة الإعلاميّة
OTPD000013,OTND00000248,2736,اللجنة الإعلاميّة
OTPD000013,OTND00000249,523,اللجنة الإعلاميّة
OTPD000013,OTND00000250,948,المسؤول العام
OTPD000013,OTND00000251,3092,المرشد الروحي
OTPD000014,OTND00000252,233,قائم بأعمال المسؤول العام
OTPD000014,OTND00000253,1255,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000014,OTND00000254,160,مسؤول فئة الثانوي
OTPD000014,OTND00000255,136,مسؤول فئة الإعدادي
OTPD000014,OTND00000256,1812,مسؤول فئة البراعم
OTPD000014,OTND00000257,2744,مسؤول فئة البراعم
OTPD000014,OTND00000258,1392,مسؤول اللجنة الإعلاميّة
OTPD000014,OTND00000259,182,مسؤول لجنة الخدمة
OTPD000014,OTND00000260,1,مسؤول لجنة العلاقات العامة
OTPD000014,OTND00000261,2270,أمين الصندوق
OTPD000014,OTND00000262,1391,أمين السر
OTPD000014,OTND00000263,1399,مجلس فئتيّ الجامعيّة والعاملة
OTPD000014,OTND00000264,2738,مجلس فئتيّ الجامعيّة والعاملة
OTPD000014,OTND00000265,1484,مجلس فئتيّ الجامعيّة والعاملة
OTPD000014,OTND00000266,1153,مجلس فئة الثانوي
OTPD000014,OTND00000267,1256,مجلس فئة الثانوي
OTPD000014,OTND00000268,203,مجلس فئة الثانوي
OTPD000014,OTND00000269,1396,مجلس فئة الثانوي
OTPD000014,OTND00000270,1394,مجلس فئة الإعدادي
OTPD000014,OTND00000271,2832,مجلس فئة الإعدادي
OTPD000014,OTND00000272,230,مجلس فئة الإعدادي
OTPD000014,OTND00000273,4,مجلس فئة الإعدادي
OTPD000014,OTND00000274,1419,مجلس فئة البراعم
OTPD000014,OTND00000275,1391,مجلس فئة البراعم
OTPD000014,OTND00000276,1400,مجلس فئة البراعم
OTPD000014,OTND00000277,1410,مجلس فئة البراعم
OTPD000014,OTND00000278,532,اللجنة الإعلاميّة
OTPD000014,OTND00000279,534,اللجنة الإعلاميّة
OTPD000014,OTND00000280,2736,اللجنة الإعلاميّة
OTPD000014,OTND00000281,523,اللجنة الإعلاميّة
OTPD000014,OTND00000282,3092,المرشد الروحي
OTPD000015,OTND00000283,233,نائب المسؤول العام
OTPD000015,OTND00000284,1255,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000015,OTND00000285,160,مسؤول فئة الثانوي
OTPD000015,OTND00000286,136,مسؤول فئة الإعدادي
OTPD000015,OTND00000287,1812,مجلس فئة البراعم
OTPD000015,OTND00000288,1392,مسؤول اللجنة الإعلاميّة
OTPD000015,OTND00000289,182,مسؤول لجنة الخدمة
OTPD000015,OTND00000290,2270,أمين الصندوق
OTPD000015,OTND00000291,1391,أمين السر
OTPD000015,OTND00000292,1399,مجلس فئتيّ الجامعيّة والعاملة
OTPD000015,OTND00000293,2738,مجلس فئتيّ الجامعيّة والعاملة
OTPD000015,OTND00000294,1484,مجلس فئتيّ الجامعيّة والعاملة
OTPD000015,OTND00000295,1153,مجلس فئة الثانوي
OTPD000015,OTND00000296,1256,مجلس فئة الثانوي
OTPD000015,OTND00000297,203,مجلس فئة الثانوي
OTPD000015,OTND00000298,1396,مجلس فئة الثانوي
OTPD000015,OTND00000299,1394,مجلس فئة الإعدادي
OTPD000015,OTND00000300,2832,مجلس فئة الإعدادي
OTPD000015,OTND00000301,230,مجلس فئة الإعدادي
OTPD000015,OTND00000302,4,مجلس فئة الإعدادي
OTPD000015,OTND00000303,1400,مجلس فئة البراعم
OTPD000015,OTND00000304,1410,مجلس فئة البراعم
OTPD000015,OTND00000305,532,اللجنة الإعلاميّة
OTPD000015,OTND00000306,534,اللجنة الإعلاميّة
OTPD000015,OTND00000307,2736,اللجنة الإعلاميّة
OTPD000015,OTND00000308,523,اللجنة الإعلاميّة
OTPD000015,OTND00000309,948,مسؤول فئة البراعم
OTPD000015,OTND00000310,1419,مجلس فئة البراعم
OTPD000015,OTND00000311,3092,المرشد الروحي
OTPD000015,OTND00000312,3093,المسؤول العام
OTPD000016,OTND00000313,233,قائم بأعمال المسؤول العام
OTPD000016,OTND00000314,1255,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000016,OTND00000315,160,مسؤول فئة الثانوي
OTPD000016,OTND00000316,136,مسؤول فئة الإعدادي
OTPD000016,OTND00000317,1812,مسؤول فئة البراعم
OTPD000016,OTND00000318,2744,مسؤول فئة البراعم
OTPD000016,OTND00000319,1392,مسؤول اللجنة الإعلاميّة
OTPD000016,OTND00000320,182,مسؤول لجنة الخدمة
OTPD000016,OTND00000321,1,مسؤول لجنة العلاقات العامة
OTPD000016,OTND00000322,2270,أمين الصندوق
OTPD000016,OTND00000323,1391,أمين السر
OTPD000016,OTND00000324,1399,مجلس فئتيّ الجامعيّة والعاملة
OTPD000016,OTND00000325,2738,مجلس فئتيّ الجامعيّة والعاملة
OTPD000016,OTND00000326,1484,مجلس فئتيّ الجامعيّة والعاملة
OTPD000016,OTND00000327,1153,مجلس فئة الثانوي
OTPD000016,OTND00000328,1256,مجلس فئة الثانوي
OTPD000016,OTND00000329,203,مجلس فئة الثانوي
OTPD000016,OTND00000330,1396,مجلس فئة الثانوي
OTPD000016,OTND00000331,1394,مجلس فئة الإعدادي
OTPD000016,OTND00000332,2832,مجلس فئة الإعدادي
OTPD000016,OTND00000333,230,مجلس فئة الإعدادي
OTPD000016,OTND00000334,4,مجلس فئة الإعدادي
OTPD000016,OTND00000335,1419,مجلس فئة البراعم
OTPD000016,OTND00000336,1391,مجلس فئة البراعم
OTPD000016,OTND00000337,1400,مجلس فئة البراعم
OTPD000016,OTND00000338,1410,مجلس فئة البراعم
OTPD000016,OTND00000339,532,اللجنة الإعلاميّة
OTPD000016,OTND00000340,534,اللجنة الإعلاميّة
OTPD000016,OTND00000341,2736,اللجنة الإعلاميّة
OTPD000016,OTND00000342,523,اللجنة الإعلاميّة
OTPD000016,OTND00000343,3091,المرشد الروحي
OTPD000017,OTND00000344,233,قائم بأعمال المسؤول العام
OTPD000017,OTND00000345,1255,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000017,OTND00000346,136,مسؤول فئة الإعدادي
OTPD000017,OTND00000347,1812,مسؤول فئة البراعم
OTPD000017,OTND00000348,2744,مسؤول فئة البراعم
OTPD000017,OTND00000349,1392,مسؤول اللجنة الإعلاميّة
OTPD000017,OTND00000350,182,مسؤول لجنة الخدمة
OTPD000017,OTND00000351,1,مسؤول لجنة العلاقات العامة
OTPD000017,OTND00000352,2270,أمين الصندوق
OTPD000017,OTND00000353,1391,أمين السر
OTPD000017,OTND00000354,1399,مجلس فئتيّ الجامعيّة والعاملة
OTPD000017,OTND00000355,2738,مجلس فئتيّ الجامعيّة والعاملة
OTPD000017,OTND00000356,1484,مجلس فئتيّ الجامعيّة والعاملة
OTPD000017,OTND00000357,1256,مجلس فئة الثانوي
OTPD000017,OTND00000358,203,مجلس فئة الثانوي
OTPD000017,OTND00000359,1396,مجلس فئة الثانوي
OTPD000017,OTND00000360,1394,مجلس فئة الإعدادي
OTPD000017,OTND00000361,2832,مجلس فئة الإعدادي
OTPD000017,OTND00000362,230,مجلس فئة الإعدادي
OTPD000017,OTND00000363,4,مجلس فئة الإعدادي
OTPD000017,OTND00000364,1419,مجلس فئة البراعم
OTPD000017,OTND00000365,1391,مجلس فئة البراعم
OTPD000017,OTND00000366,1400,مجلس فئة البراعم
OTPD000017,OTND00000367,1410,مجلس فئة البراعم
OTPD000017,OTND00000368,532,اللجنة الإعلاميّة
OTPD000017,OTND00000369,534,اللجنة الإعلاميّة
OTPD000017,OTND00000370,2736,اللجنة الإعلاميّة
OTPD000017,OTND00000371,523,اللجنة الإعلاميّة
OTPD000017,OTND00000372,3091,المرشد الروحي
OTPD000018,OTND00000373,1255,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000018,OTND00000374,136,مسؤول فئة الإعدادي
OTPD000018,OTND00000375,1812,مسؤول فئة البراعم
OTPD000018,OTND00000376,2744,مسؤول فئة البراعم
OTPD000018,OTND00000377,1392,مسؤول اللجنة الإعلاميّة
OTPD000018,OTND00000378,1399,مجلس فئتيّ الجامعيّة والعاملة
OTPD000018,OTND00000379,2738,مجلس فئتيّ الجامعيّة والعاملة
OTPD000018,OTND00000380,1484,مجلس فئتيّ الجامعيّة والعاملة
OTPD000018,OTND00000381,1256,مسؤول فئة الثانوي
OTPD000018,OTND00000382,203,مجلس فئة الثانوي
OTPD000018,OTND00000383,1396,مجلس فئة الثانوي
OTPD000018,OTND00000384,1394,مجلس فئة الإعدادي
OTPD000018,OTND00000385,2832,مجلس فئة الإعدادي
OTPD000018,OTND00000386,230,مجلس فئة الإعدادي
OTPD000018,OTND00000387,4,مجلس فئة الإعدادي
OTPD000018,OTND00000388,1419,مجلس فئة البراعم
OTPD000018,OTND00000389,1391,مجلس فئة البراعم
OTPD000018,OTND00000390,1400,مجلس فئة البراعم
OTPD000018,OTND00000391,1410,مجلس فئة البراعم
OTPD000018,OTND00000392,532,اللجنة الإعلاميّة
OTPD000018,OTND00000393,534,اللجنة الإعلاميّة
OTPD000018,OTND00000394,2736,اللجنة الإعلاميّة
OTPD000018,OTND00000395,523,اللجنة الإعلاميّة
OTPD000018,OTND00000396,3091,المرشد الروحي
OTPD000018,OTND00000397,3091,المسؤول العام
OTPD000018,OTND00000398,1259,مجلس فئتيّ الجامعيّة والعاملة
OTPD000018,OTND00000399,1392,مجلس فئة الثانوي
OTPD000018,OTND00000400,241,مجلس فئة الثانوي
OTPD000019,OTND00000401,233,نائب المسؤول العام
OTPD000019,OTND00000402,1255,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000019,OTND00000403,160,مسؤول فئة الثانوي
OTPD000019,OTND00000404,136,مسؤول فئة الإعدادي
OTPD000019,OTND00000405,1812,مجلس فئة البراعم
OTPD000019,OTND00000406,1392,مسؤول اللجنة الإعلاميّة
OTPD000019,OTND00000407,182,مسؤول لجنة الخدمة
OTPD000019,OTND00000408,2270,أمين الصندوق
OTPD000019,OTND00000409,1391,أمين السر
OTPD000019,OTND00000410,1399,مجلس فئتيّ الجامعيّة والعاملة
OTPD000019,OTND00000411,2738,مجلس فئتيّ الجامعيّة والعاملة
OTPD000019,OTND00000412,1484,مجلس فئتيّ الجامعيّة والعاملة
OTPD000019,OTND00000413,1153,مجلس فئة الثانوي
OTPD000019,OTND00000414,1256,مجلس فئة الثانوي
OTPD000019,OTND00000415,203,مجلس فئة الثانوي
OTPD000019,OTND00000416,1396,مجلس فئة الثانوي
OTPD000019,OTND00000417,1394,مجلس فئة الإعدادي
OTPD000019,OTND00000418,2832,مجلس فئة الإعدادي
OTPD000019,OTND00000419,230,مجلس فئة الإعدادي
OTPD000019,OTND00000420,4,مجلس فئة الإعدادي
OTPD000019,OTND00000421,1400,مجلس فئة البراعم
OTPD000019,OTND00000422,1410,مجلس فئة البراعم
OTPD000019,OTND00000423,532,اللجنة الإعلاميّة
OTPD000019,OTND00000424,534,اللجنة الإعلاميّة
OTPD000019,OTND00000425,2736,اللجنة الإعلاميّة
OTPD000019,OTND00000426,523,اللجنة الإعلاميّة
OTPD000019,OTND00000427,948,مسؤول فئة البراعم
OTPD000019,OTND00000428,1419,مجلس فئة البراعم
OTPD000019,OTND00000429,3092,المرشد الروحي
OTPD000019,OTND00000430,3092,قائم بأعمال المسؤول العام
OTPD000020,OTND00000431,1255,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000020,OTND00000432,136,مسؤول فئة الإعدادي
OTPD000020,OTND00000433,1812,مسؤول فئة البراعم
OTPD000020,OTND00000434,2744,مسؤول فئة البراعم
OTPD000020,OTND00000435,1392,مسؤول اللجنة الإعلاميّة
OTPD000020,OTND00000436,1399,مجلس فئتيّ الجامعيّة والعاملة
OTPD000020,OTND00000437,2738,مجلس فئتيّ الجامعيّة والعاملة
OTPD000020,OTND00000438,1484,مجلس فئتيّ الجامعيّة والعاملة
OTPD000020,OTND00000439,1256,مسؤول فئة الثانوي
OTPD000020,OTND00000440,203,مجلس فئة الثانوي
OTPD000020,OTND00000441,1396,مجلس فئة الثانوي
OTPD000020,OTND00000442,1394,مجلس فئة الإعدادي
OTPD000020,OTND00000443,2832,مجلس فئة الإعدادي
OTPD000020,OTND00000444,230,مجلس فئة الإعدادي
OTPD000020,OTND00000445,4,مجلس فئة الإعدادي
OTPD000020,OTND00000446,1419,مجلس فئة البراعم
OTPD000020,OTND00000447,1391,مجلس فئة البراعم
OTPD000020,OTND00000448,1400,مجلس فئة البراعم
OTPD000020,OTND00000449,1410,مجلس فئة البراعم
