parish_id,patron_saint,area,lpj_url,facebook_url,instagram_url,linkedin_url,region,governorate
PA011,انتقال السيدة,السلط,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/salt-parish-assumption-of-our-lady-church,https://web.facebook.com/p/%D9%83%D9%86%D9%8A%D8%B3%D8%A9-%D8%A7%D9%86%D8%AA%D9%82%D8%A7%D9%84-%D8%A7%D9%84%D8%B3%D9%8A%D8%AF%D8%A9-%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D9%84%D8%A7%D8%AA%D9%8A%D9%86-%D8%A7%D9%84%D8%B3%D9%84%D8%B7-100088047443460/?utm_source=chatgpt.com&_rdc=1&_rdr#,,,الوسط,البلقاء
PA012,القديس ميخائيل,السماكية,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/smakieh-parish-saint-michael-church,https://www.facebook.com/profile.php?id=100064858173464#,,,الجنوب,الكرك
PA013,العذراء الناصرية,الصويفية,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/sweifieh-parish-mary-of-nazareth-church,https://web.facebook.com/p/StMary-Of-Nazareth-Church-%D9%83%D9%86%D9%8A%D8%B3%D8%A9-%D8%A7%D9%84%D8%B9%D8%B0%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D9%86%D8%A7%D8%B5%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%B5%D9%88%D9%8A%D9%81%D9%8A%D8%A9-100070483206798/?_rdc=1&_rdr#,,,الوسط,عمان
PA014,سيدة نجمة البحر,العقبة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/aqaba-parish-our-lady-stella-maris-church,https://www.facebook.com/stella.maris.church.2025,https://www.instagram.com/stella_maris_church/,,الجنوب,العقبة
PA015,قلب يسوع الأقدس,ناعور,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/naour-parish-sacred-heart-church,,,,الوسط,عمان
PA016,سيدة الوردية,الكرك,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/karak-parish-our-lady-of-the-rosary-church,https://www.facebook.com/groups/491453657878179/,,,الجنوب,الكرك
PA017,يسوع الملك,المصدار,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/al-misdar-parish-christ-the-king-church,https://www.facebook.com/Christ.The.King.Church.Almisdar/,https://www.instagram.com/christ.the.king.latin.church?igsh=aHhrazlwYjIwcDNn,,الوسط,عمان
PA018,القديس يوسف,المفرق,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/mafraq-parish-st-joseph-church,https://web.facebook.com/groups/1565979983506573/?locale=ar_AR&utm_source=chatgpt.com&_rdc=1&_rdr#,,,الشمال,المفرق
PA019,مار إلياس,الوهادنة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/al-wahadneh-parish-saint-elijah-church,https://web.facebook.com/profile.php?id=100066141056596,https://www.instagram.com/latin.church.wahadneh/,,الشمال,عجلون
PA020,قلب يسوع الأقدس,تلاع العلي,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/tilalali-parish-sacred-heart-of-jesus-church,https://www.facebook.com/photo/?fbid=1470230824405301&set=a.726728832088841&locale=ar_AR,,,الوسط,عمان
PA021,القديس يوحنا دي لا سال,جبل الحسين,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/jabal-al-hussein-parish-st-john-de-la-salle-church,,,,الوسط,عمان
PA022,سيدة البشارة,اللويبدة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/jabal-al-weibdeh-parish-annunciation-church,https://www.facebook.com/profile.php?id=100064853761103,,,الوسط,عمان
PA023,سيدة الكرمل,الهاشمي الشمالي,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/jabal-al-hashimi-parish-our-lady-of-carmel-church,,,,الوسط,عمان
PA024,القديس يوسف,جبل عمان,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/jabal-amman-parish-saint-joseph-church,https://web.facebook.com/profile.php?id=61574751114403,https://www.instagram.com/st_joseph_church_jabal_amman/,,الوسط,عمان
PA025,سيدة البشارة,شطنا,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/shatana-parish-assumption-of-our-lady-church,https://web.facebook.com/LatinShatana/?_rdc=1&_rdr#,,,الشمال,إربد
PA026,القديسة تريزا الطفل يسوع,صافوط,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/safout-parish-saint-theresa-of-the-child-jesus-church,,,,الوسط,البلقاء
PA027,القديس بولس الرسول,عجلون,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/ajloun-parish-saint-paul-church,https://web.facebook.com/saintpaullatinchurch,,,الشمال,عجلون
PA028,سيدة الجبل,عنجرة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/anjara-parish-our-lady-of-the-visitation-church,https://web.facebook.com/anjaralatinchurch/?_rdc=1&_rdr#,https://www.instagram.com/anjarachurch?igsh=b2lubXdyYmt3cjBo,,الشمال,عجلون
PA029,قطع رأس يوحنا المعمدان,مادبا,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/madaba-parish-beheading-of-saint-john-the-baptist-church,https://www.facebook.com/profile.php?id=100064705687473#,https://www.instagram.com/johnthebaptistchurchmadaba?igsh=M29ybnIwNXdxbTU1,,الوسط,مادبا
PA030,العذراء أم الكنيسة,ماركا,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/marka-parish-mary-mother-of-the-church,https://web.facebook.com/groups/564224736942720,,,الوسط,عمان
PA031,القديس يعقوب الصغير,ماعين,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/main-parish-saint-james-the-less-church,,,,الوسط,مادبا
PA032,شهداء الاردن,مرج الحمام,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/marj-al-hamam-parish-martyrs-of-jordan-church,https://www.facebook.com/p/%D9%83%D9%86%D9%8A%D8%B3%D8%A9-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B1%D8%AF%D9%86-%D9%85%D8%B1%D8%AC-%D8%A7%D9%84%D8%AD%D9%85%D8%A7%D9%85-100072214111222/?locale=ar_AR&utm_source=chatgpt.com,,,الوسط,عمان
PA033,الراعي الصالح,طريق المطار,,https://web.facebook.com/profile.php?id=100079896781479,,,الوسط,عمان
