email_record_id,is_primary,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
EM000158,True,2026-05-29 16:19:45,,True,admin
EM000159,True,2026-05-29 16:20:46,,True,admin
EM000160,True,2026-05-29 16:21:47,,True,admin
EM000161,True,2026-05-29 16:23:30,,True,admin
EM000162,True,2026-05-29 16:24:12,,True,admin
EM000163,True,2026-05-29 16:25:16,,True,admin
EM000164,True,2026-05-29 16:26:30,,True,admin
EM000165,True,2026-05-29 16:27:17,,True,admin
EM000166,True,2026-05-29 16:28:21,,True,admin
EM000167,True,2026-05-29 16:29:22,,True,admin
EM000168,True,2026-05-29 16:31:43,,True,admin
EM000169,True,2026-05-29 16:32:29,,True,admin
EM000170,True,2026-05-29 16:33:31,,True,admin
EM000171,True,2026-05-29 16:34:50,,True,admin
EM000172,True,2026-05-29 16:36:10,,True,admin
EM000173,True,2026-05-29 16:36:51,,True,admin
EM000174,True,2026-05-29 16:37:46,,True,admin
EM000077,True,2026-05-29 16:38:55,,True,admin
EM000175,False,2026-05-29 16:38:55,,True,admin
EM000176,True,2026-05-29 16:39:47,,True,admin
EM000177,True,2026-05-29 16:40:40,,True,admin
EM000180,True,2026-06-23 18:58:40,,True,admin
EM000181,True,2026-06-28 10:11:05,,True,admin
EM000182,True,2026-07-07 14:35:37,,True,admin
EM000183,True,2026-07-07 14:41:33,,True,admin
EM000184,True,2026-07-11 10:03:13,,True,admin
EM000185,True,2026-07-11 10:05:21,,True,admin
EM000186,True,2026-07-11 10:07:02,,True,admin
EM000187,True,2026-07-14 08:21:32,,True,admin
EM000188,True,2026-07-14 08:24:25,,True,admin
EM000004,True,2026-03-08 21:22:49,,True,admin
EM000094,True,2026-05-02 09:19:02,,True,admin
EM000095,True,2026-05-02 09:41:31,,True,admin
EM000096,True,2026-05-02 12:01:29,,True,admin
EM000098,True,2026-05-02 13:06:17,,True,admin
EM000112,True,2026-05-29 14:48:04,,True,admin
EM000178,True,2026-05-29 16:56:23,,True,admin
EM000179,True,2026-05-30 14:15:27,,True,admin
EM000077,True,2025-02-16 15:32:27,2026-05-29 16:38:55,False,admin
EM000101,True,2026-05-27 19:55:41,2026-05-27 19:56:02,False,admin
EM000100,True,2026-05-27 19:52:40,2026-05-27 19:54:02,False,admin
