person_youth_group_record_id,age_group,start_date,end_date,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
PRYG000171,الجامعيّة,,,2025-01-31 11:15:55,,True,admin
PRYG000172,الجامعيّة,,,2026-01-23 15:21:14,,True,admin
PRYG000173,العاملة,,,2025-01-31 11:15:55,,True,admin
PRYG000174,الجامعيّة,,,2025-01-31 11:15:55,,True,admin
PRYG000174,الثانوي,,,2025-01-31 11:15:55,,True,admin
PRYG000174,الإعدادي,,,2025-01-31 11:15:55,,True,admin
PRYG000174,البراعم,,,2025-01-31 11:15:55,,True,admin
PRYG000175,الجامعيّة,2024-02-02,,2025-01-31 11:15:55,,True,admin
PRYG000176,العاملة,,,2025-01-31 11:15:57,,True,admin
PRYG000177,العاملة,,,2025-01-31 11:15:57,,True,admin
PRYG000178,الجامعيّة,,,2025-01-31 11:15:57,,True,admin
PRYG000179,الجامعيّة,,,2025-01-31 11:16:02,,True,admin
PRYG000180,الجامعيّة,,,2025-01-31 11:16:02,,True,admin
PRYG000181,الجامعيّة,,,2025-01-31 11:16:02,,True,admin
PRYG000182,العاملة,,,2025-01-31 11:16:03,,True,admin
PRYG000183,الجامعيّة,,,2025-01-31 11:16:05,,True,admin
PRYG000184,الجامعيّة,,,2025-01-31 11:16:08,,True,admin
PRYG000185,الجامعيّة,,,2025-01-31 11:16:10,,True,admin
PRYG000186,الجامعيّة,,,2025-01-31 11:16:12,,True,admin
PRYG000187,الجامعيّة,,,2025-01-31 11:16:12,,True,admin
PRYG000188,العاملة,,,2025-01-31 11:16:13,,True,admin
PRYG000189,الجامعيّة,,,2025-01-31 11:16:13,,True,admin
PRYG000190,الجامعيّة,,,2025-01-31 11:16:14,,True,admin
PRYG000191,الجامعيّة,,,2025-01-31 11:16:15,,True,admin
PRYG000192,الجامعيّة,,,2025-01-31 11:16:16,,True,admin
PRYG000193,الجامعيّة,,,2025-01-31 11:16:17,,True,admin
PRYG000194,الجامعيّة,,,2025-01-31 11:16:17,,True,admin
PRYG000195,الجامعيّة,,,2025-01-31 11:16:18,,True,admin
PRYG000196,الجامعيّة,,,2025-01-31 11:16:19,,True,admin
PRYG000197,الجامعيّة,,,2025-01-31 11:16:21,,True,admin
PRYG000198,العاملة,,,2025-01-31 11:16:24,,True,admin
PRYG000199,الجامعيّة,,,2025-01-31 11:16:24,,True,admin
PRYG000200,العاملة,,,2025-01-31 11:16:25,,True,admin
PRYG000201,الجامعيّة,,,2025-01-31 11:16:27,,True,admin
PRYG000201,الثانوي,,,2025-01-31 11:16:27,,True,admin
PRYG000202,العاملة,,,2025-01-31 11:16:28,,True,admin
PRYG000202,الجامعيّة,,,2025-01-31 11:16:28,,True,admin
PRYG000203,العاملة,,,2025-01-31 11:16:29,,True,admin
PRYG000204,الجامعيّة,,,2025-01-31 11:16:29,,True,admin
PRYG000205,الجامعيّة,,,2025-01-31 11:16:35,,True,admin
PRYG000206,الجامعيّة,,,2025-01-31 11:16:37,,True,admin
PRYG000207,الجامعيّة,,,2025-01-31 11:16:40,,True,admin
PRYG000208,العاملة,,,2025-01-31 11:16:41,,True,admin
PRYG000209,الجامعيّة,,,2025-01-31 11:16:42,,True,admin
PRYG000210,الجامعيّة,,,2025-01-31 11:16:43,,True,admin
PRYG000211,العاملة,,,2025-01-31 11:16:44,,True,admin
PRYG000212,الجامعيّة,,,2025-01-31 11:16:45,,True,admin
PRYG000213,الجامعيّة,,,2025-01-31 11:16:46,,True,admin
PRYG000214,الجامعيّة,,,2025-01-31 11:16:50,,True,admin
PRYG000215,العاملة,,,2025-01-31 11:16:51,,True,admin
PRYG000216,الجامعيّة,,,2025-01-31 11:16:52,,True,admin
PRYG000217,العاملة,,,2025-01-31 11:16:52,,True,admin
PRYG000218,العاملة,,,2025-01-31 11:16:58,,True,admin
PRYG000219,العاملة,,,2025-01-31 11:16:59,,True,admin
PRYG000220,الجامعيّة,,,2025-01-31 11:16:59,,True,admin
PRYG000221,العاملة,,,2025-01-31 11:17:01,,True,admin
PRYG000222,الجامعيّة,,,2025-01-31 11:17:06,,True,admin
PRYG000223,الجامعيّة,,,2025-01-31 11:17:07,,True,admin
PRYG000224,الجامعيّة,,,2025-01-31 11:17:09,,True,admin
PRYG000225,الجامعيّة,,,2025-01-31 11:17:11,,True,admin
PRYG000226,الجامعيّة,,,2025-01-31 11:17:12,,True,admin
PRYG000227,الجامعيّة,,,2025-01-31 11:17:13,,True,admin
PRYG000228,العاملة,,,2025-01-31 11:17:15,,True,admin
PRYG000229,الجامعيّة,,,2025-01-31 11:17:18,,True,admin
PRYG000230,العاملة,,,2025-01-31 11:17:20,,True,admin
PRYG000231,الجامعيّة,,,2025-01-31 11:17:25,,True,admin
PRYG000232,الجامعيّة,,,2025-01-31 11:17:34,,True,admin
PRYG000232,الثانوي,2019-02-07,,2025-01-31 11:17:34,,True,admin
PRYG000233,الجامعيّة,,,2025-01-31 11:17:38,,True,admin
PRYG000234,الجامعيّة,,,2025-01-31 11:17:45,,True,admin
PRYG000235,الجامعيّة,,,2025-01-31 11:17:49,,True,admin
PRYG000236,العاملة,,,2025-01-31 11:17:50,,True,admin
PRYG000237,العاملة,,,2025-01-31 11:18:01,,True,admin
PRYG000238,الجامعيّة,,,2025-01-31 11:18:02,,True,admin
PRYG000239,العاملة,,,2025-01-31 11:18:02,,True,admin
PRYG000240,العاملة,,,2025-01-31 11:18:03,,True,admin
PRYG000241,الجامعيّة,,,2025-01-31 11:18:06,,True,admin
PRYG000241,الثانوي,2022-03-16,,2025-01-31 11:18:06,,True,admin
PRYG000242,العاملة,,,2025-01-31 11:18:07,,True,admin
PRYG000243,الجامعيّة,,,2025-01-31 11:18:08,,True,admin
PRYG000244,الجامعيّة,,,2025-11-03 19:02:04,,True,admin
PRYG000245,الجامعيّة,,,2025-01-31 11:18:11,,True,admin
PRYG000246,الجامعيّة,,,2025-01-31 11:18:12,,True,admin
PRYG000247,العاملة,,,2025-01-31 11:18:16,,True,admin
PRYG000248,العاملة,,,2025-01-31 11:18:19,,True,admin
PRYG000249,العاملة,,,2025-01-31 11:18:21,,True,admin
PRYG000250,الجامعيّة,,,2025-01-31 11:18:21,,True,admin
PRYG000251,الجامعيّة,,,2025-01-31 11:18:21,,True,admin
PRYG000252,الجامعيّة,,,2025-01-31 11:18:21,,True,admin
PRYG000253,العاملة,,,2025-01-31 11:18:24,,True,admin
PRYG000254,الجامعيّة,,,2025-01-31 11:18:27,,True,admin
PRYG000255,الجامعيّة,,,2025-01-31 11:18:33,,True,admin
PRYG000256,الجامعيّة,,,2025-01-31 11:18:39,,True,admin
PRYG000257,العاملة,,,2025-01-31 11:18:39,,True,admin
PRYG000258,الجامعيّة,,,2025-01-31 11:18:43,,True,admin
PRYG000259,العاملة,,,2025-01-31 11:18:44,,True,admin
PRYG000260,الجامعيّة,,,2025-01-31 11:18:00,,True,admin
PRYG000261,الجامعيّة,,,2025-01-31 11:19:01,,True,admin
PRYG000262,الجامعيّة,,,2025-01-31 11:19:04,,True,admin
PRYG000263,العاملة,,,2025-01-31 11:19:10,,True,admin
PRYG000264,الجامعيّة,,,2025-01-31 11:19:11,,True,admin
PRYG000265,الجامعيّة,,,2025-01-31 11:19:17,,True,admin
PRYG000266,العاملة,,,2025-01-31 11:19:18,,True,admin
PRYG000267,الجامعيّة,,,2025-01-31 11:19:40,,True,admin
PRYG000268,العاملة,,,2025-01-31 11:19:43,,True,admin
PRYG000269,العاملة,,,2025-06-27 03:48:35,,True,admin
PRYG000270,الجامعيّة,,,2025-01-31 11:20:06,,True,admin
PRYG000271,الجامعيّة,,,2025-01-31 11:20:08,,True,admin
PRYG000272,العاملة,,,2025-01-31 11:20:10,,True,admin
PRYG000273,الجامعيّة,,,2025-01-31 11:20:18,,True,admin
PRYG000274,العاملة,2012-01-01,,2025-01-31 11:21:26,,True,admin
PRYG000274,الجامعيّة,2007-01-01,2008-12-31,2025-01-31 11:21:26,,True,admin
PRYG000275,الجامعيّة,,,2025-01-31 11:21:51,,True,admin
PRYG000276,الجامعيّة,,,2025-01-31 11:22:46,,True,admin
PRYG000277,العاملة,,,2025-01-31 11:23:09,,True,admin
PRYG000278,العاملة,2023-05-01,,2025-01-31 11:23:15,,True,admin
PRYG000279,العاملة,,,2025-01-31 11:24:08,,True,admin
PRYG000280,الجامعيّة,,,2025-01-31 11:24:54,,True,admin
PRYG000281,العاملة,,,2025-01-31 11:25:23,,True,admin
PRYG000282,العاملة,,,2025-01-31 11:26:59,,True,admin
PRYG000283,الجامعيّة,,,2025-01-31 11:29:09,,True,admin
PRYG000283,الثانوي,,,2025-01-31 11:29:09,,True,admin
PRYG000284,العاملة,,,2025-01-31 11:33:32,,True,admin
PRYG000285,العاملة,,,2025-01-31 11:37:13,,True,admin
PRYG000286,العاملة,,,2025-01-31 11:38:46,,True,admin
PRYG000287,الجامعيّة,,,2025-01-31 11:42:11,,True,admin
PRYG000288,العاملة,,,2025-01-31 11:52:23,,True,admin
PRYG000289,الجامعيّة,,,2025-01-31 11:58:47,,True,admin
PRYG000290,الجامعيّة,,,2025-01-31 12:24:41,,True,admin
PRYG000291,الجامعيّة,,,2025-01-31 12:32:23,,True,admin
PRYG000292,الجامعيّة,,,2025-01-31 13:30:38,,True,admin
PRYG000293,العاملة,,,2025-01-31 13:33:50,,True,admin
PRYG000294,الجامعيّة,,,2025-01-31 13:43:41,,True,admin
PRYG000295,العاملة,,,2025-01-31 13:51:54,,True,admin
PRYG000296,الجامعيّة,,,2025-01-31 14:53:31,,True,admin
PRYG000297,الجامعيّة,,,2025-01-31 15:08:17,,True,admin
PRYG000298,العاملة,,,2025-01-31 16:01:13,,True,admin
PRYG000299,الجامعيّة,,,2025-01-31 16:17:26,,True,admin
PRYG000300,الجامعيّة,,,2025-01-31 16:37:22,,True,admin
PRYG000301,الثانوي,,,2025-01-31 17:12:27,,True,admin
PRYG000302,الثانوي,,,2025-01-31 17:22:22,,True,admin
PRYG000303,الإعدادي,,,2025-01-31 17:27:30,,True,admin
PRYG000304,الثانوي,,,2025-01-31 17:27:34,,True,admin
PRYG000305,الجامعيّة,,,2025-01-31 17:30:15,,True,admin
PRYG000306,الجامعيّة,,,2025-01-31 17:41:04,,True,admin
PRYG000307,البراعم,,,2025-01-31 19:11:47,,True,admin
PRYG000308,الثانوي,,,2025-01-31 19:11:54,,True,admin
PRYG000309,الثانوي,,,2025-01-31 19:11:58,,True,admin
PRYG000310,البراعم,,,2025-01-31 19:13:52,,True,admin
PRYG000311,البراعم,,,2025-01-31 19:15:56,,True,admin
PRYG000312,الجامعيّة,,,2025-01-31 19:17:34,,True,admin
PRYG000313,الثانوي,,,2025-01-31 19:18:25,,True,admin
PRYG000314,الثانوي,,,2025-01-31 19:19:10,,True,admin
PRYG000315,العاملة,,,2025-01-31 19:39:59,,True,admin
PRYG000316,العاملة,,,2025-01-31 19:40:14,,True,admin
PRYG000317,العاملة,,,2025-01-31 19:40:50,,True,admin
PRYG000318,البراعم,,,2025-01-31 19:50:29,,True,admin
PRYG000319,الثانوي,,,2025-01-31 19:50:31,,True,admin
PRYG000320,الثانوي,,,2025-01-31 19:51:11,,True,admin
PRYG000321,الثانوي,,,2025-01-31 19:51:53,,True,admin
PRYG000322,الثانوي,,,2025-01-31 19:52:29,,True,admin
PRYG000323,الجامعيّة,,,2025-01-31 19:53:05,,True,admin
PRYG000324,الثانوي,,,2025-01-31 19:58:29,,True,admin
PRYG000325,الثانوي,,,2025-01-31 19:59:07,,True,admin
PRYG000326,الثانوي,,,2025-01-31 20:07:14,,True,admin
PRYG000327,الثانوي,,,2025-01-31 20:10:48,,True,admin
PRYG000328,العاملة,,,2025-01-31 20:22:58,,True,admin
PRYG000329,الثانوي,,,2025-01-31 20:28:49,,True,admin
PRYG000330,الثانوي,,,2025-01-31 20:34:13,,True,admin
PRYG000331,الثانوي,,,2025-01-31 20:45:50,,True,admin
PRYG000332,العاملة,,,2025-01-31 20:53:11,,True,admin
PRYG000333,الجامعيّة,,,2025-01-31 20:55:47,,True,admin
PRYG000334,الثانوي,,,2025-01-31 21:34:04,,True,admin
PRYG000334,الإعدادي,,,2025-01-31 21:34:04,,True,admin
PRYG000334,البراعم,2015-08-07,,2025-01-31 21:34:04,,True,admin
PRYG000335,الجامعيّة,,,2025-01-31 22:08:49,,True,admin
PRYG000336,العاملة,,,2025-01-31 22:08:55,,True,admin
PRYG000337,العاملة,,,2025-01-31 22:12:10,,True,admin
PRYG000338,العاملة,,,2025-01-31 22:13:50,,True,admin
PRYG000339,العاملة,,,2025-01-31 22:15:40,,True,admin
PRYG000340,الجامعيّة,,,2025-01-31 22:19:07,,True,admin
PRYG000341,الجامعيّة,,,2025-01-31 22:31:32,,True,admin
PRYG000342,العاملة,,,2025-01-31 22:37:46,,True,admin
PRYG000343,الجامعيّة,,,2025-01-31 22:41:24,,True,admin
PRYG000344,الثانوي,,,2025-01-31 22:45:19,,True,admin
PRYG000345,العاملة,,,2025-01-31 22:46:40,,True,admin
PRYG000346,الجامعيّة,,,2025-01-31 22:49:13,,True,admin
PRYG000347,الجامعيّة,,,2025-01-31 22:56:59,,True,admin
PRYG000348,الجامعيّة,,,2025-01-31 23:15:38,,True,admin
PRYG000349,الجامعيّة,,,2025-02-01 01:42:53,,True,admin
PRYG000350,البراعم,,,2025-02-01 09:51:14,,True,admin
PRYG000351,البراعم,,,2025-02-01 09:52:53,,True,admin
PRYG000352,الجامعيّة,,,2025-02-01 10:06:30,,True,admin
PRYG000353,البراعم,,,2025-02-01 10:26:32,,True,admin
PRYG000354,البراعم,,,2025-02-01 10:27:32,,True,admin
PRYG000355,الجامعيّة,,,2025-02-01 11:35:37,,True,admin
PRYG000356,الجامعيّة,,,2025-02-01 11:50:03,,True,admin
PRYG000357,الإعدادي,,,2025-02-01 11:51:25,,True,admin
PRYG000358,الجامعيّة,,,2025-02-01 12:13:29,,True,admin
PRYG000359,الجامعيّة,,,2025-02-01 12:19:50,,True,admin
PRYG000359,الثانوي,2022-03-17,,2025-02-01 12:19:50,,True,admin
PRYG000360,الجامعيّة,,,2025-02-01 12:20:45,,True,admin
PRYG000361,الإعدادي,,,2025-02-01 12:21:18,,True,admin
PRYG000362,الجامعيّة,,,2025-02-01 12:23:59,,True,admin
PRYG000363,الثانوي,,,2025-02-01 12:29:45,,True,admin
PRYG000364,العاملة,,,2025-02-01 12:34:29,,True,admin
PRYG000365,الثانوي,,,2025-02-01 12:42:41,,True,admin
PRYG000366,الجامعيّة,,,2025-02-01 12:45:12,,True,admin
PRYG000367,الجامعيّة,,,2025-02-01 12:57:29,,True,admin
PRYG000368,الجامعيّة,,,2025-02-01 13:07:19,,True,admin
PRYG000369,العاملة,,,2025-02-01 13:14:36,,True,admin
PRYG000370,العاملة,,,2025-02-01 13:23:12,,True,admin
PRYG000371,الجامعيّة,,,2025-02-01 13:27:37,,True,admin
PRYG000372,العاملة,,,2025-02-01 13:32:37,,True,admin
PRYG000373,العاملة,,,2025-02-01 13:38:13,,True,admin
PRYG000374,البراعم,,,2025-02-01 13:47:43,,True,admin
PRYG000375,البراعم,,,2025-02-01 13:49:04,,True,admin
PRYG000376,الإعدادي,,,2025-02-01 13:51:21,,True,admin
PRYG000377,العاملة,,,2025-02-01 13:54:41,,True,admin
PRYG000378,الإعدادي,,,2025-02-01 13:55:00,,True,admin
PRYG000379,الثانوي,,,2025-02-01 13:57:44,,True,admin
PRYG000380,الجامعيّة,,,2025-02-01 13:59:10,,True,admin
PRYG000381,البراعم,,,2025-02-01 14:11:35,,True,admin
PRYG000382,البراعم,,,2025-02-01 14:11:48,,True,admin
PRYG000383,البراعم,,,2025-03-30 16:32:29,,True,admin
PRYG000384,البراعم,,,2025-02-01 14:11:59,,True,admin
PRYG000385,البراعم,,,2025-02-01 14:12:54,,True,admin
